method,obs,a_mean,a_q05,a_q95,a_true,a_in_CI,b_mean,b_q05,b_q95,b_true,b_in_CI,E1_mean,E1_q05,E1_q95,E2_mean,E2_q05,E2_q95
cgan,7,301.11,300.55,301.691,300,False,24.4518,24.1452,24.6706,25.4046,False,0.683874,0.510531,0.846317,0.696291,0.533915,0.851552
cgan,8,300.003,299.477,300.494,298,False,25.9954,25.7882,26.1855,27.0311,False,0.684636,0.509585,0.849998,0.696869,0.527033,0.856809
cgan,9,298.844,298.317,299.43,296.95,False,23.9295,23.5423,24.1353,24.6177,False,0.684342,0.500161,0.850624,0.694739,0.52085,0.864544
cgan,10,300.863,300.312,301.358,297.9,False,25.4958,25.2655,25.7007,25.8454,False,0.687299,0.514756,0.849872,0.696603,0.535557,0.853497
cgan,11,302.311,301.652,302.809,299.3,False,26.4477,26.2426,26.7001,26.9808,False,0.681879,0.509071,0.849943,0.691215,0.537282,0.852842
cgan,12,312.47,311.615,312.893,308.6,False,22.3572,22.2222,22.6505,22.8814,False,0.668455,0.52186,0.844029,0.660387,0.503526,0.82507
cgan,13,311.533,310.624,311.891,307.75,False,24.7623,24.5292,25.1379,26.5363,False,0.662556,0.520692,0.843294,0.682348,0.503855,0.870297
cgan,14,299.308,298.782,299.907,297.5,False,23.9583,23.5945,24.1497,25.6494,False,0.678395,0.504604,0.846957,0.691699,0.51662,0.864916
cgan,15,299.933,299.415,300.433,297.6,False,25.158,24.9133,25.3543,24.9299,True,0.68606,0.50948,0.845175,0.702175,0.535838,0.857812
cgan,16,301.23,300.646,301.793,300,False,24.9191,24.6633,25.1407,26.3441,False,0.683763,0.508146,0.84793,0.694888,0.539991,0.853181
cgan,17,305.294,304.479,305.855,303.75,False,24.2203,23.9325,24.544,24.6598,False,0.673573,0.514736,0.838479,0.690685,0.540709,0.839783
cgan,18,297.92,297.454,298.352,296.1,False,27.3453,27.1998,27.4826,27.6121,False,0.68513,0.510788,0.853948,0.696408,0.523896,0.875211
cgan,19,293.278,292.797,293.788,291.9,False,26.3693,26.1011,26.5272,26.8497,False,0.687772,0.517096,0.848554,0.685162,0.529768,0.879942
cgan,20,301.303,300.726,301.863,299.7,False,24.9865,24.714,25.222,25.1586,True,0.679085,0.509997,0.847179,0.698254,0.536942,0.852684
cgan,21,303.875,303.096,304.404,303.5,True,25.2467,24.9645,25.5865,25.398,True,0.678392,0.512706,0.84272,0.697747,0.544697,0.84926
cgan,22,293.452,292.959,293.967,292,False,25.6652,25.3471,25.8263,25.9946,False,0.687561,0.512806,0.845401,0.680769,0.518842,0.879854
cgan,23,302.895,302.224,303.459,302.6,True,24.6056,24.3175,24.8726,24.984,False,0.681504,0.510437,0.845047,0.700113,0.541808,0.848423
cgan,24,305.956,305.137,306.525,304.2,False,23.881,23.5976,24.2257,24.3809,False,0.67916,0.515885,0.839768,0.683845,0.542947,0.832165
cgan,25,301.715,301.116,302.175,300.7,False,26.8714,26.6971,27.1213,26.8959,True,0.681174,0.509038,0.850154,0.698156,0.535201,0.859495
cgan,26,295.978,295.566,296.323,293.5,False,29.6612,29.5548,29.7839,29.5839,True,0.69037,0.50702,0.878174,0.702182,0.499119,0.913
cgan,27,301.976,301.307,302.466,300.05,False,26.17,25.9605,26.4369,26.7256,False,0.68179,0.504032,0.849142,0.699014,0.538401,0.85696
cgan,28,304.399,303.712,305.137,301.9,False,22.0079,21.6256,22.2122,22.9351,False,0.684422,0.520242,0.855139,0.686058,0.517081,0.841437
cgan,29,303.698,303.026,304.393,302.7,False,21.677,21.2857,21.878,21.9861,False,0.689888,0.517274,0.861314,0.689444,0.513172,0.857534
cnf,0,304.047,303.369,304.707,302.75,False,23.4408,22.9547,23.9084,25.0636,False,0.646641,0.514932,0.858627,0.568281,0.500275,0.72791
cnf,1,302.556,301.884,303.204,301.55,False,24.1336,23.6365,24.6578,25.504,False,0.65184,0.513564,0.861845,0.578311,0.502502,0.74803
cnf,2,308.142,307.544,308.764,308.01,True,23.3302,22.8244,23.8193,24.0739,False,0.637027,0.51055,0.852662,0.590064,0.502564,0.793677
cnf,3,299.84,299.232,300.477,299.5,True,23.2602,22.7792,23.7759,23.5951,True,0.635426,0.509937,0.836628,0.551731,0.501179,0.677759
cnf,4,302.404,301.785,303.08,302.4,True,25.9803,25.5023,26.4199,25.6718,True,0.641794,0.510821,0.851067,0.57185,0.503871,0.743269
cnf,5,300.681,300.056,301.305,300.3,True,22.514,22.0042,22.9931,22.5485,True,0.640446,0.513342,0.8389,0.558364,0.501452,0.70316
cnf,6,297.603,296.946,298.286,296.75,False,25.0063,24.5277,25.4713,26.0087,False,0.638656,0.509065,0.853849,0.573961,0.504038,0.728437
cnf,7,300.614,299.974,301.228,300,True,24.4985,23.9575,24.9924,25.4046,False,0.65681,0.514802,0.86155,0.59097,0.504432,0.779718
cnf,8,299.475,298.863,300.11,298,False,25.9496,25.482,26.4098,27.0311,False,0.651489,0.517166,0.857363,0.55659,0.501873,0.68344
cnf,9,298.158,297.558,298.814,296.95,False,23.8887,23.4369,24.3587,24.6177,False,0.633622,0.512993,0.827399,0.552514,0.501568,0.685355
cnf,10,300.184,299.621,300.861,297.9,False,25.426,24.9912,25.8922,25.8454,True,0.684252,0.557135,0.849677,0.533144,0.498108,0.609175
cnf,11,301.814,301.192,302.535,299.3,False,26.3817,25.9212,26.8698,26.9808,False,0.735028,0.584854,0.877749,0.562278,0.499408,0.710869
cnf,12,311.939,311.371,312.535,308.6,False,22.4839,22.0081,23.0347,22.8814,True,0.713443,0.560579,0.877604,0.571092,0.49835,0.756027
cnf,13,310.824,310.189,311.541,307.75,False,25.026,24.5993,25.5033,26.5363,False,0.708033,0.545219,0.876836,0.578291,0.495099,0.771534
cnf,14,298.938,298.297,299.574,297.5,False,23.9718,23.4472,24.4795,25.6494,False,0.706012,0.542773,0.877325,0.592313,0.503905,0.762851
cnf,15,299.312,298.686,299.999,297.6,False,25.1105,24.6519,25.5563,24.9299,True,0.655681,0.526644,0.846277,0.545169,0.500922,0.655252
