obs_id,a,b,E1,E2
0,304.252014,23.829536,0.795732,0.558904
0,304.401062,23.032078,0.556041,0.647932
0,304.521332,23.509041,0.686125,0.711777
0,303.866577,23.533258,0.744927,0.510539
0,303.908386,23.378061,0.556088,0.536557
0,303.886658,23.269823,0.588295,0.707287
0,304.476349,23.553806,0.816711,0.493657
0,303.967285,22.960411,0.560905,0.611309
0,304.119781,23.243811,0.560898,0.536243
0,304.893707,23.397894,0.817343,0.627499
0,303.900970,23.216045,0.524443,0.565188
0,304.603241,23.233971,0.721772,0.533808
0,304.014069,23.353075,0.651312,0.521428
0,304.059937,23.325468,0.614804,0.511313
0,304.599426,23.252958,0.742992,0.563029
0,303.770050,23.773476,0.668179,0.509035
0,304.361877,22.842331,0.601294,0.538147
0,303.493134,23.419735,0.512112,0.543039
0,304.323303,23.203684,0.658741,0.547437
0,303.998230,23.714531,0.787342,0.515267
0,303.820709,23.743858,0.560161,0.516347
0,303.904449,23.618298,0.577966,0.504065
0,304.123352,23.179543,0.620184,0.594178
0,303.633301,23.318043,0.490854,0.512075
0,303.991211,23.666925,0.561323,0.684953
0,303.812195,23.945721,0.735491,0.540958
0,304.600189,22.925787,0.722119,0.684328
0,305.054565,22.922436,0.655955,0.600033
0,304.720001,23.327684,0.803879,0.589618
0,304.381775,23.147539,0.640165,0.509205
0,304.213135,23.416067,0.600118,0.532532
0,304.319702,22.603809,0.529355,0.533934
0,303.910339,23.067247,0.525780,0.631044
0,303.538055,23.746315,0.578978,0.682330
0,304.088409,23.623047,0.748723,0.538130
0,303.361542,23.751209,0.550770,0.515673
0,304.216583,22.813242,0.507491,0.602169
0,304.304840,23.543041,0.782896,0.580156
0,304.598511,22.972254,0.652736,0.547450
0,304.290497,23.055695,0.634527,0.522236
0,304.334839,23.188511,0.638862,0.498182
0,304.857483,23.259184,0.894210,0.507825
0,304.191925,23.099213,0.604925,0.575689
0,303.704468,23.615997,0.516213,0.561672
0,303.224091,23.839161,0.514238,0.553495
0,304.136536,23.528124,0.626288,0.533236
0,303.747620,23.487358,0.598809,0.529724
0,303.939941,23.334091,0.551475,0.561064
0,303.891510,23.382946,0.555747,0.556149
0,303.924225,23.773630,0.643239,0.816030
0,304.342163,23.158577,0.691254,0.543770
0,304.304565,23.084709,0.697148,0.513861
0,304.056580,23.513535,0.623514,0.510906
0,304.061523,23.558798,0.615249,0.530738
0,304.227051,23.209494,0.684247,0.614006
0,304.938019,23.347857,0.869588,0.587274
0,304.582550,23.300009,0.774110,0.591223
0,304.346771,22.813084,0.544851,0.555897
0,304.062866,23.759453,0.774551,0.534686
0,303.465149,23.497173,0.522670,0.507115
0,304.275635,23.511206,0.780766,0.522472
0,304.038239,23.657307,0.727697,0.583164
0,303.923981,23.799656,0.646184,0.494053
0,304.551025,23.760090,0.881089,0.554948
0,304.001129,23.548958,0.577300,0.503852
0,303.940430,23.413158,0.701030,0.545114
0,303.468262,23.660728,0.535972,0.546203
0,302.986298,23.722956,0.524725,0.520629
0,304.007507,23.085260,0.507512,0.626987
0,303.745178,23.462757,0.511319,0.599802
0,303.964661,23.557829,0.726186,0.511653
0,303.727844,23.347782,0.524527,0.574213
0,304.336578,23.775108,0.764004,0.502076
0,303.513000,23.942158,0.593467,0.539658
0,304.523163,23.536188,0.847306,0.659250
0,303.553650,23.591755,0.511211,0.589999
0,303.919891,23.131136,0.518533,0.868144
0,304.323730,23.466177,0.626716,0.606574
0,303.942535,23.480160,0.578786,0.494053
0,304.200104,23.219151,0.568613,0.554237
0,303.670929,23.871111,0.674508,0.512457
0,303.900543,23.385778,0.505208,0.715372
0,304.071564,23.359446,0.570765,0.659200
0,304.537231,22.803829,0.587128,0.560586
