method,obs,a_mean,a_q05,a_q95,a_true,a_in_CI,b_mean,b_q05,b_q95,b_true,b_in_CI,E1_mean,E1_q05,E1_q95,E2_mean,E2_q05,E2_q95
cnf,29,302.787,302.126,303.488,302.7,True,21.7335,21.203,22.2595,21.9861,True,0.646673,0.511846,0.856214,0.570575,0.502008,0.739144
cddpm,0,303.966,303.337,304.607,302.75,False,23.3692,22.8714,23.8739,25.0636,False,0.630109,0.507218,0.855563,0.573712,0.499018,0.751902
cddpm,1,302.549,301.951,303.203,301.55,False,24.0682,23.5371,24.5789,25.504,False,0.643721,0.512669,0.855601,0.589319,0.503312,0.775682
cddpm,2,307.951,307.306,308.577,308.01,True,23.2833,22.7877,23.778,24.0739,False,0.621138,0.510722,0.831429,0.587146,0.501389,0.77463
cddpm,3,299.84,299.228,300.491,299.5,True,23.1914,22.6669,23.6835,23.5951,True,0.617099,0.503713,0.831974,0.558372,0.498882,0.707212
cddpm,4,302.355,301.741,303.019,302.4,True,25.9878,25.5102,26.468,25.6718,True,0.627576,0.508824,0.843843,0.58044,0.503807,0.772987
cddpm,5,300.639,299.992,301.296,300.3,True,22.4627,21.9589,22.9564,22.5485,True,0.620164,0.505099,0.835808,0.563473,0.497637,0.704382
cddpm,6,297.612,297.005,298.243,296.75,False,25.0323,24.5455,25.5246,26.0087,False,0.63224,0.508375,0.844166,0.577049,0.50176,0.744171
cddpm,7,300.651,299.994,301.29,300,True,24.4562,23.9649,24.9575,25.4046,False,0.649459,0.512442,0.841774,0.594306,0.504444,0.788657
cddpm,8,299.427,298.768,300.127,298,False,25.9383,25.4493,26.4021,27.0311,False,0.6259,0.506836,0.839127,0.567819,0.498442,0.737114
cddpm,9,298.142,297.526,298.831,296.95,False,23.8308,23.3295,24.3055,24.6177,False,0.60937,0.503893,0.82207,0.561239,0.498797,0.706304
cddpm,10,299.982,299.346,300.657,297.9,False,25.3709,24.8766,25.8475,25.8454,True,0.61625,0.506294,0.827343,0.541796,0.497265,0.637273
cddpm,11,301.617,300.961,302.265,299.3,False,26.4012,25.9045,26.8575,26.9808,False,0.695406,0.52506,0.891601,0.56644,0.502643,0.714117
cddpm,12,311.698,311.051,312.321,308.6,False,22.3116,21.8289,22.7846,22.8814,False,0.667225,0.526271,0.870966,0.565448,0.499269,0.731595
cddpm,13,310.516,309.862,311.116,307.75,False,24.9914,24.5475,25.4419,26.5363,False,0.705682,0.52801,0.892262,0.5909,0.505467,0.779406
cddpm,14,298.862,298.194,299.479,297.5,False,23.9321,23.4159,24.4366,25.6494,False,0.686069,0.516944,0.883365,0.588551,0.501559,0.776546
cddpm,15,299.208,298.56,299.872,297.6,False,25.089,24.5997,25.5794,24.9299,True,0.620633,0.507884,0.845841,0.555793,0.49692,0.702326
cddpm,16,300.719,300.074,301.357,300,False,24.9324,24.4317,25.4124,26.3441,False,0.638781,0.510491,0.85646,0.577649,0.500812,0.765016
cddpm,17,304.395,303.788,305.034,303.75,False,24.3349,23.8623,24.8175,24.6598,True,0.642575,0.511518,0.857782,0.575063,0.501666,0.738392
cddpm,18,297.138,296.559,297.803,296.1,False,27.281,26.8134,27.7483,27.6121,True,0.611148,0.501809,0.816485,0.538713,0.495452,0.636181
cddpm,19,292.527,291.907,293.197,291.9,False,26.3696,25.883,26.8563,26.8497,True,0.641486,0.50892,0.849205,0.560627,0.500624,0.703623
cddpm,20,300.531,299.921,301.205,299.7,False,24.9235,24.4224,25.4034,25.1586,True,0.602715,0.502987,0.800783,0.551857,0.496314,0.686133
cddpm,21,303.033,302.408,303.711,303.5,True,25.2839,24.8055,25.7795,25.398,True,0.622639,0.508489,0.83843,0.569915,0.50231,0.722855
cddpm,22,292.654,292.096,293.337,292,False,25.5689,25.0974,26.0454,25.9946,True,0.584742,0.499028,0.759994,0.542727,0.496422,0.64481
cddpm,23,302.248,301.646,302.919,302.6,True,24.6404,24.1873,25.104,24.984,True,0.614463,0.504624,0.829402,0.588849,0.503371,0.787726
cddpm,24,304.917,304.313,305.558,304.2,False,23.9894,23.5057,24.4623,24.3809,True,0.622589,0.505351,0.826665,0.566621,0.500564,0.718339
cddpm,25,300.918,300.362,301.558,300.7,True,26.7964,26.3137,27.2596,26.8959,True,0.59933,0.501599,0.78583,0.546525,0.497158,0.664592
cddpm,26,294.967,294.373,295.608,293.5,False,29.6498,29.2046,30.0903,29.5839,True,0.584658,0.497591,0.778943,0.527079,0.491,0.593523
cddpm,27,301.177,300.572,301.821,300.05,False,26.0992,25.6347,26.581,26.7256,False,0.603763,0.502469,0.7977,0.549191,0.496331,0.6691
cddpm,28,303.393,302.719,304.088,301.9,False,22.0554,21.5569,22.5761,22.9351,False,0.633647,0.507999,0.85166,0.564572,0.498854,0.716081
cddpm,29,302.677,302.096,303.317,302.7,True,21.7229,21.2149,22.2358,21.9861,True,0.625896,0.507777,0.830223,0.581983,0.499319,0.765684
cfm,0,304.213,303.592,304.887,302.75,False,23.403,22.93,23.9004,25.0636,False,0.643789,0.517264,0.831742,0.571073,0.499202,0.71892
cfm,1,302.761,302.145,303.368,301.55,False,24.0729,23.61,24.5437,25.504,False,0.657767,0.51415,0.850027,0.590751,0.507334,0.748643
cfm,2,308.194,307.576,308.822,308.01,True,23.2812,22.8123,23.7799,24.0739,False,0.640609,0.512298,0.823002,0.588913,0.50108,0.750791
cfm,3,300.118,299.486,300.828,299.5,True,23.218,22.7851,23.6682,23.5951,True,0.630503,0.514596,0.818676,0.549059,0.494607,0.666126
cfm,4,302.586,301.939,303.213,302.4,True,25.9565,25.5103,26.4228,25.6718,True,0.64722,0.511017,0.846745,0.57959,0.50035,0.741597
cfm,5,300.922,300.258,301.579,300.3,True,22.4935,22.0264,22.977,22.5485,True,0.640449,0.516109,0.826698,0.559038,0.501466,0.676686
cfm,6,297.881,297.24,298.516,296.75,False,25.0166,24.5861,25.469,26.0087,False,0.650972,0.512792,0.844328,0.570991,0.501509,0.71971
cfm,7,300.838,300.199,301.447,300,False,24.4437,23.9963,24.9145,25.4046,False,0.657627,0.517008,0.856605,0.595104,0.506944,0.761958
cfm,8,299.695,299.089,300.331,298,False,25.9229,25.4832,26.3422,27.0311,False,0.640523,0.51191,0.829554,0.563939,0.497267,0.699833
cfm,9,298.464,297.854,299.142,296.95,False,23.8495,23.388,24.3068,24.6177,False,0.630857,0.509244,0.821446,0.549469,0.492966,0.674505
cfm,10,300.401,299.794,301.069,297.9,False,25.3662,24.9477,25.7625,25.8454,False,0.636657,0.508841,0.830145,0.522821,0.47933,0.604409
cfm,11,301.937,301.353,302.512,299.3,False,26.378,25.9633,26.7972,26.9808,False,0.705908,0.531187,0.875685,0.5568,0.495654,0.68595
cfm,12,311.913,311.269,312.592,308.6,False,22.3919,21.8995,22.9146,22.8814,True,0.672204,0.522334,0.852756,0.569461,0.498974,0.720907
