obs_id,a,b,E1,E2
0,304.301208,23.599169,0.699936,0.533676
0,303.797150,23.607731,0.577943,0.602722
0,304.661987,23.306761,0.795612,0.576033
0,304.831207,23.390890,0.876059,0.521219
0,303.665009,23.494883,0.552209,0.519397
0,303.809937,23.854076,0.697888,0.489403
0,304.062744,23.521317,0.549030,0.547857
0,304.393646,22.976383,0.567048,0.840521
0,305.176910,23.030474,0.826389,0.609757
0,303.836212,23.357988,0.534084,0.488241
0,304.146362,23.167500,0.523287,0.497390
0,304.383911,23.626440,0.752972,0.553058
0,304.484894,23.397879,0.660430,0.642552
0,303.715668,23.326279,0.546114,0.508605
0,304.245209,23.130207,0.554526,0.517683
0,304.367554,23.316456,0.676554,0.546334
0,303.900330,23.602634,0.583543,0.623073
0,304.343445,23.316216,0.637473,0.635646
0,303.771118,23.742996,0.583345,0.539545
0,304.053162,23.132523,0.546595,0.560569
0,304.125397,23.351543,0.707022,0.556951
0,304.479065,23.247240,0.629443,0.598936
0,303.871704,23.154583,0.527295,0.557196
0,304.005585,23.600574,0.720405,0.510238
0,304.391632,23.458776,0.622161,0.529711
0,304.242554,23.495485,0.646164,0.582204
0,303.503204,24.013601,0.574461,0.584688
0,304.199463,23.041039,0.535234,0.557417
0,304.385742,23.445503,0.668974,0.636541
0,303.724518,23.618765,0.547070,0.511904
0,304.469025,23.533152,0.672227,0.603571
0,304.064148,23.975496,0.737744,0.541344
0,304.429108,22.909325,0.552621,0.719096
0,304.648773,22.869884,0.578120,0.710751
0,304.417755,23.955462,0.746662,0.545879
0,304.211060,23.078442,0.577442,0.710212
0,303.961792,23.331623,0.539499,0.496054
0,303.945374,23.612175,0.553011,0.518716
0,304.412415,23.110106,0.631505,0.564207
0,304.046143,23.181873,0.513114,0.506338
0,304.397858,23.051315,0.632985,0.540381
0,303.971069,23.526888,0.584050,0.553349
0,304.354065,23.454756,0.771945,0.529712
0,304.110687,23.883211,0.688130,0.595926
0,303.994354,23.450127,0.572178,0.713851
0,304.520294,23.608309,0.717189,0.625761
0,304.522278,22.854204,0.560668,0.656366
0,303.514343,23.218887,0.502730,0.672473
0,303.560089,24.132093,0.621931,0.557331
0,303.884277,24.105433,0.660369,0.541729
0,304.421326,23.473930,0.622375,0.623295
0,304.857727,23.165276,0.681993,0.579986
0,304.203583,23.660599,0.601361,0.544322
0,303.506378,23.738588,0.552296,0.587219
0,303.919586,23.661533,0.620669,0.532992
0,304.655304,23.251036,0.819513,0.540382
0,304.767670,23.220390,0.826658,0.549922
0,304.745087,23.097658,0.794331,0.523733
0,304.677551,23.665934,0.708527,0.722353
0,303.462952,23.693388,0.578367,0.554227
0,304.198120,23.742083,0.652914,0.551751
0,304.357971,23.199112,0.582720,0.515641
0,303.853394,23.170778,0.534643,0.655354
0,304.082703,23.648207,0.637952,0.548800
0,303.991302,23.497936,0.680458,0.567460
0,304.057404,23.842056,0.612030,0.547134
0,303.924866,23.662197,0.604896,0.499484
0,303.944977,23.575079,0.580900,0.691223
0,303.627625,23.671303,0.558707,0.554405
0,304.561829,23.079334,0.650528,0.515106
0,304.610565,23.202133,0.684325,0.513569
0,304.341797,23.553377,0.731895,0.561140
0,304.492065,23.473433,0.692162,0.519688
0,303.871246,23.211704,0.536482,0.534472
0,304.641235,23.365778,0.569318,0.632853
0,304.423218,23.575291,0.628411,0.566381
0,304.330688,23.726002,0.717566,0.508006
0,304.030029,23.311874,0.608240,0.517463
0,304.704620,22.615835,0.634888,0.601423
0,304.307770,23.451309,0.698372,0.535091
0,303.930023,23.786856,0.635888,0.607781
0,304.555115,23.458038,0.841230,0.516692
0,304.414795,23.546589,0.671894,0.500803
0,304.813965,23.333975,0.821801,0.637417
0,304.318939,23.311520,0.653308,0.531393
0,303.991211,23.999685,0.712592,0.530944
0,304.780396,22.854937,0.759468,0.760163
