obs_id,a,b,E1,E2
0,303.964691,23.485971,0.617726,0.559913
0,304.006439,23.463678,0.603544,0.588770
0,304.105713,23.256712,0.663313,0.525706
0,304.487488,23.319403,0.712922,0.579058
0,304.585114,23.531071,0.880630,0.534142
0,304.288757,23.518860,0.823155,0.530943
0,304.421539,23.042692,0.577216,0.547040
0,303.956390,23.298479,0.647722,0.540471
0,303.787872,24.022186,0.846903,0.502012
0,303.799957,23.061140,0.508810,0.615337
0,304.186249,23.486702,0.685015,0.497384
0,303.712555,23.663895,0.618008,0.592178
0,303.908234,23.450726,0.581312,0.504126
0,304.173553,23.330627,0.653620,0.520819
0,304.113159,23.117622,0.684233,0.503541
0,303.258759,24.094675,0.543800,0.505886
0,303.309601,23.599541,0.505988,0.510987
0,303.654449,23.524052,0.596653,0.528452
0,303.951447,23.184605,0.522695,0.587678
0,304.266876,23.666586,0.775237,0.565759
0,303.907867,23.053949,0.542214,0.517515
0,304.520538,23.632860,0.811495,0.503971
0,303.942963,23.736715,0.671336,0.522935
0,303.728729,23.566071,0.509505,0.611889
0,304.198334,22.904875,0.562876,0.638690
0,304.140320,22.941746,0.549029,0.592496
0,304.191498,23.443647,0.612940,0.681397
0,304.124817,23.587582,0.672526,0.569251
0,303.496307,23.687317,0.562919,0.524043
0,304.190460,23.162354,0.584518,0.681287
0,304.732239,23.344189,0.773049,0.742762
0,303.961639,23.576216,0.717341,0.510398
0,303.977020,24.006804,0.887738,0.569698
0,304.188446,23.589520,0.655411,0.514906
0,304.005219,22.998917,0.503384,0.667803
0,304.571106,22.844641,0.558908,0.706676
0,304.449158,23.510506,0.890287,0.491805
0,304.803833,23.263645,0.856096,0.498675
0,304.000305,23.559311,0.617872,0.625847
0,303.844055,23.439247,0.534641,0.551290
0,304.109283,23.436935,0.763876,0.504710
0,304.594574,23.206636,0.746560,0.508876
0,304.133484,23.281517,0.627290,0.560233
0,303.502777,23.699377,0.549792,0.524970
0,303.758514,23.391741,0.538172,0.535865
0,303.843445,23.783096,0.663822,0.525253
0,303.936829,23.266216,0.594606,0.507591
0,303.836426,23.291691,0.608860,0.587538
0,304.053040,23.283314,0.565144,0.532817
0,303.734558,23.327906,0.576908,0.502441
0,304.025665,23.668102,0.794433,0.566086
0,304.512146,23.485933,0.727831,0.531282
0,303.857727,23.490913,0.572596,0.550180
0,303.298523,24.058050,0.581713,0.523932
0,304.094055,23.186291,0.589223,0.504200
0,303.756012,23.477274,0.537468,0.559337
0,304.126190,23.718132,0.758967,0.507419
0,303.942657,23.517982,0.557476,0.564849
0,303.726166,23.967207,0.647021,0.597461
0,303.823090,23.168449,0.510106,0.512800
0,304.008362,23.084858,0.514279,0.515844
0,303.993927,23.948772,0.647286,0.595611
0,303.561462,23.314547,0.512050,0.517697
0,304.556702,23.448462,0.862662,0.501836
0,304.306793,23.701809,0.749437,0.510588
0,304.131866,23.138048,0.600496,0.530182
0,304.482452,23.293886,0.726183,0.499293
0,304.290344,23.065298,0.650124,0.530283
0,303.924866,23.563274,0.625966,0.526269
0,304.147888,23.415813,0.689076,0.620119
0,303.564667,23.871161,0.561457,0.581933
0,303.384186,23.634987,0.507988,0.530472
0,303.861511,23.582150,0.547691,0.606657
0,303.947021,23.119329,0.524756,0.503669
0,302.953125,23.620047,0.503670,0.492802
0,303.369324,24.129971,0.611542,0.538781
0,303.694122,24.125032,0.659494,0.546936
0,303.930267,23.518755,0.550059,0.535866
0,304.424835,23.116051,0.583878,0.556452
0,304.227905,23.694149,0.675639,0.529158
0,303.351685,23.815403,0.577719,0.517272
0,303.941956,23.683773,0.678709,0.535686
0,304.389191,23.125620,0.659522,0.680397
0,304.439941,23.060909,0.633154,0.699435
0,304.602631,23.028166,0.725856,0.628046
0,303.777588,23.719561,0.517896,0.616281
0,303.447784,23.710215,0.614933,0.526125
0,303.968292,23.736002,0.627104,0.550553
0,304.705139,23.257729,0.783388,0.516411
0,303.334442,23.462927,0.519103,0.501815
0,303.916504,23.644371,0.627716,0.545775
0,303.672699,23.456213,0.590845,0.574226
0,303.994415,23.875521,0.660214,0.532730
0,304.306488,23.774200,0.858540,0.521347
0,303.348663,23.739304,0.516143,0.528202
